lon,lat,atmLabel
-1.547125,53.7980265,"HSBC"
-1.5469522,53.7983298,"Santander"
-1.5765871,53.8203297,"Yorkshire Bank"
-1.5766946,53.8204141,"TSB"
-1.5774123,53.8210896,"Barclays Bank PLC"
-1.6020819,53.8135182,"RBS"
-1.544634,53.7779398,"Yorkshire Bank"
-1.5316609,53.7897853,"Tesco"
-1.5909116,53.7968846,"Lloyds TSB"
-1.5887588,53.7972115,"Yorkshire Bank"
-1.5780719,53.8211134,"Halifax"
-1.5386399,53.796446,"Post Office"
-1.5423515,53.7961087,"Yorkshire Building Society"
-1.5426083,53.796226,"HSBC"
-1.5424231,53.7976845,"Alliance & Leicester"
-1.6015269,53.8128764,"HSBC"
-1.6014388,53.8129244,"HSBC"
-1.602132,53.8135015,"Lloyds TSB"
-1.5472163,53.7980294,"HSBC"
-1.5469429,53.798281,"NatWest"
-1.5469429,53.7982284,"NatWest"
-1.5469486,53.7981774,"NatWest"
-1.547186,53.7988921,"RBS"
-1.5365373,53.7963886,"Co-Op"
-1.5359934,53.7976765,"Yorkshire Bank"
-1.5360239,53.797676,"HSBC"
-1.5442817,53.8018411,"Yorkshire Bank"
-1.5442589,53.8018075,"Yorkshire Bank"
-1.5442437,53.8017784,"Yorkshire Bank"
-1.9042448,53.8687467,"Sainsburys"
-1.5738712,53.7905731,"Yorkshire Bank"
-1.7755068,53.646386,"Sainsburys"
-1.62423,53.6893984,"Sainsburys"
-1.7732802,53.805695,"Barclays Bank PLC"
-1.6712572,53.8127993,"Post Office"
-1.5542131,53.7776438,"post_office"
-1.9085059,53.8681187,"Santander"
-1.9090424,53.8670781,"Bradford & Bingley"
-1.9074493,53.8679405,"Lloyds TSB"
-1.909495,53.8670019,"Lloyds"
-1.9084126,53.865813,"Nationwide"
-1.9079551,53.865794,"Halifax"
-1.9073929,53.8658996,"Cooperative"
-1.7779015,53.7009145,"Sainsbury's"
-1.5649997,53.5434148,"The Co-Operative"
-1.7306779,53.8349032,"Post Office"
-1.7307022,53.8355681,"Yorkshire Bank"
-1.8170823,53.9243295,"RBS"
-1.6496755,53.7048237,"Sainsbury"
-1.2548726,53.708496,"Yorkshire Bank"
-1.254882,53.708496,"Yorkshire Bank"
-1.5532458,53.8066066,"Barclays Bank PLC"
-1.7864924,53.5696873,"Barclays"
-1.7867959,53.5699623,"Lloyds Bank"
-1.6275316,53.6919617,"Barclays Bank PLC"
-2.0118248,53.7412901,"LloydsTSB"
-1.8808393,53.7152787,"Barclays Bank PLC"
-1.5553509,53.8031829,"Barclays Bank PLC"
-1.784424,53.5724115,"The Co-operative Bank"
-2.0969961,53.7136066,"Halifax"
-2.0972267,53.7135892,"TSB"
-1.5082044,53.8442838,"Link"
-1.5580053,53.8475809,"Post Office"
-1.5352331,53.8478176,"Link; Visa; Cirrus"
-2.0906479,53.5466752,"Yorkshire Bank"
-1.5094248,53.8442149,"Link"
-1.5334168,53.8424313,"Link"
-1.4630307,53.7015283,"Link"
-1.6021803,53.8134854,"HSBC"
-1.3679874,53.7661249,"Coop"
-1.3700634,53.7666575,"Barclays Bank PLC"
-1.7012612,53.6091859,"HSBC"
-1.8364618,53.8472911,"Co-operative Bank"
-1.9271911,53.6011384,"The Co-operative Bank"
-1.7877411,53.5702511,"Santander"
-1.8882749,53.7250925,"Barclays Bank PLC"
-1.694482,53.9056907,"Halifax Building Society"
-1.8095172,53.6377409,"Coop Bank"
-1.3462465,53.9048527,"HSBC"
-2.1205522,53.6374804,"CoOp"
-1.5342945,53.8126686,"HSBC"
-1.7263936,53.8794542,"Yorkshire Bank"
-1.7409392,53.8893209,"Co-operative Bank"
-1.529241,53.778987,"Halifax"
-1.5291605,53.7789806,"Morrisons"
-1.6509553,53.7013119,"Halifax"
-1.4815398,53.5526198,"Yorkshire Bank"
-1.4811295,53.5525577,"Santander"
-1.8157644,53.8160599,"Tesco"
-1.4840343,53.8001213,"Co-Operative Bank"
-1.5444186,53.5819863,"Yorkshire Bank"
-2.1661899,53.8572161,"Cooperative"
-1.6941183,53.905073,"Yorkshire Bank"
-1.8877437,53.8593763,"Halifax bank"
-1.5805453,53.8167101,"Link"
-1.724761,53.8777088,"Yorkshire Bank"
-1.529344,53.5861611,"Co-operative Bank"
-1.8560858,53.6399556,"Coop"
-1.826387,53.640653,"Lloyds"
-1.5335034,53.8440003,"Lloyds"
-2.1218638,53.5656457,"NatWest"
-1.692161,53.9030404,"24/7"
-1.6403145,53.8319064,"24/7"
-1.6719416,53.811598,"Co-operative Bank"
-1.3881868,53.7942063,"24/7"
-1.3794149,53.7835061,"24/7"
-1.4816161,53.5540984,"RBS"
-1.5996265,53.7435225,"Post Office"
-1.8164935,53.6554012,"NatWest"
-1.5877846,53.7616559,"RBS"
-1.2519475,53.797218,"RBS"
-1.2516059,53.7972785,"Nat West"
-1.2518281,53.7986913,"Co-op Bank"
-1.7997313,53.6914382,"Co Operative Bank"
-1.6904612,53.8580229,"Link"
-1.5423607,53.7980248,"Lloyds Bank"
-1.5423788,53.7979424,"Lloyds Bank"
-1.8616274,53.7221057,"Lloyds"
-1.8616642,53.7220967,"Lloyds"
-1.7128211,53.87419,"Post Office"
-1.7128077,53.8742612,"Barclays"
-1.6409055,53.8375549,"Yorkshire Bank"
-1.6407344,53.8376399,"Halifax"
-1.6404544,53.8378008,"Santander"
-122.0367821,37.3719564,"Union Bank of California"
-122.252783,37.857262,"Wells Fargo"
-122.267786,37.8069224,"ID_247506870"
-122.0375293,37.3686282,"Provident Credit Union"
-122.4232384,37.764931,"Kilowatt"
-122.2664264,37.8092634,"ID_276234544"
-122.2627269,37.8039219,"ID_276234784"
-122.2709926,37.8000948,"Wells Fargo"
-122.2707437,37.7999863,"ID_276234881"
-122.2587606,37.8680578,"Bank of America"
-122.2600212,37.8684876,"Wells Fargo"
-122.2596842,37.8697465,"Bank of America"
-122.4240976,37.7630605,"500 Club"
-122.2635702,37.8090198,"Bank of America"
-122.241386,37.7653375,"Bank of America"
-122.2409707,37.7644796,"US Bank"
-122.2413324,37.7647497,"Citibank"
-122.2423159,37.7645943,"Bank of Alameda"
-122.2420419,37.7636496,"ComericA Bank"
-122.2428814,37.7656639,"Wells Fargo"
-122.2665905,37.8093038,"Wells Fargo"
-122.2663658,37.8086818,"Washington Mutual"
-122.2668293,37.8083428,"Union Bank of California"
-122.2673013,37.8089395,"California Bank & Trust"
-122.2649925,37.8084038,"US Bank"
-122.2620837,37.812729,"ID_311252269"
-122.0864436,37.3527626,"Downey Savings"
-122.2697641,37.8816996,"Wells Fargo"
-122.387807,37.7814263,"Java House Breakfast and Lunch"
-122.391681,37.782374,"Brannan Street Cafe"
-122.2673624,37.8674622,"Mechanics Bank"
-121.6404169,37.1136351,"Commonwealth Central Credit Union"
-122.4088922,37.7996508,"Citibank"
-122.4029694,37.7925762,"Bank of America"
-122.1443246,37.4239826,"Bank of America"
-122.0777686,37.3949106,"ID_343244527"
-122.277904,37.8912553,"Chase"
-122.2796258,37.891555,"Mechanics Bank"
-122.2890131,37.8910191,"California Bank & Trust"
-122.2905139,37.8909479,"citibank"
-122.285737,37.8906842,"citibank"
-122.2800411,37.8910564,"Wells Fargo"
-122.2695543,37.8803736,"Bank of the West"
-122.2695749,37.8796839,"Bank of America"
-122.2664847,37.8703777,"ID_354703535"
-122.267338,37.870752,"Bank of America"
-122.416283,37.809449,"Musee Mecanique"
-121.9340866,37.2876008,"ID_373607739"
-122.4135248,37.786761,"ID_377877386"
-122.4142951,37.7866902,"ID_377877460"
-122.4075247,37.7876991,"ID_377909730"
-122.411522,37.7887771,"ID_381963907"
-122.4166247,37.7882955,"City ATM"
-122.3659773,37.5843268,"Chase"
-122.4056333,37.7861602,"Wells Fargo"
-122.4052986,37.7859567,"Bank of America"
-122.4022383,37.7892529,"Wells Fargo"
-122.4007792,37.7900058,"Wells Fargo"
-122.3987965,37.7915997,"Bank of the West"
-122.397509,37.7920406,"Wells Fargo"
-122.4225935,37.7927744,"Cypress Advantage"
-122.4086619,37.788874,"Bank of America"
-122.4086533,37.7888062,"Swipe"
-122.4024121,37.7828274,"ID_389398233"
-122.4132364,37.7710824,"ID_389450795"
-122.4208354,37.7841229,"Swipe"
-122.400866,37.7901085,"Wells Fargo"
-122.0266816,36.9746234,"ID_392910670"
-122.4168233,37.7861745,"ID_393126577"
-122.4185154,37.7859655,"ID_393128287"
-122.4199789,37.7857617,"Swipe"
-122.4202888,37.7859466,"Swipe"
-122.4204003,37.7859195,"City ATM"
-122.0292364,36.9821472,"Bay Federal Credit Union"
-122.0251421,36.975038,"Santa Cruz County Bank"
-122.028169,36.9766445,"Lighthouse Bank"
-122.0272219,36.9766133,"Bank of the West"
-122.0559244,36.9976267,"Bay Federal Credit Union"
-122.0559402,36.997576,"Wells Fargo"
-122.0425474,36.9636231,"Comerica Bank"
-122.0258794,36.9762058,"Comerica Bank"
-122.050004,36.9762867,"Bay Federal Credit Union"
-122.1631069,37.4436264,"e-trade"
-122.0094469,36.9805723,"Comerica"
-122.403151,37.7938731,"Bank of the West"
-122.4028506,37.7939409,"Far East National Bank"
-122.4086337,37.7971711,"East West Bank"
-122.4081187,37.7957536,"First Republic Bank"
-122.4223774,37.7983501,"Bank of America"
-122.4219723,37.7963113,"ID_412102375"
-122.4029122,37.8024601,"Wells Fargo"
-122.4018908,37.7974414,"Swipe"
-122.4202862,37.7649198,"ID_414258450"
-122.4217024,37.7647569,"ID_414259032"
-122.4214241,37.7654093,"ID_414259048"
-122.0252771,36.9704052,"Western Union"
-122.3940464,37.7923185,"Wells Fargo"
-122.3976981,37.7894932,"Bank of America"
-122.0412972,36.9656761,"Bank of America"
-122.436966,37.800495,"Wells Fargo"
-122.0203379,36.9603116,"ID_418204220"
-121.8312461,37.250406,"Bank of America"
-122.4294806,37.7854908,"Union Bank of California"
-122.4291459,37.7855315,"Union Bank of California"
-122.2676207,37.8105657,"Bank of the West"
-121.9804682,36.9892799,"Rabobank"
-121.9792857,36.989065,"Wells Fargo"
-122.4024701,37.802465,"ID_434700892"
-122.0058258,36.9811039,"Bank of America"
-122.066804,37.3372382,"ID_437320491"
-122.0211549,36.9799442,"Bank of America Mortgage"
-122.2529651,37.8572452,"Wells Fargo"
-122.0338953,37.3233607,"Bank of America"
-122.2074077,37.8234628,"ID_472257540"
-122.0297415,37.0465327,"Chase"
-122.0297159,37.0464378,"Chase"
-122.1291098,37.4329579,"Bank of America"
-122.0255567,37.361572,"WellsFargo"
-122.018585,37.0477591,"Bank of America"
-122.0183533,37.0476426,"Bank of America"
-122.0182503,37.0476974,"Bank of America"
-121.9509859,37.4126339,"ID_515624928"
-122.2609823,37.5235288,"ID_522277332"
-122.401843,37.7659198,"ID_539993883"
-122.2684,37.8704378,"Wells Fargo Bank"
-122.267907,37.865897,"Chase"
-122.268355,37.870106,"Chase"
-122.2685759,37.8719552,"Citibank"
-121.7488727,38.5423552,"ID_559376231"
-122.1840679,37.4519798,"ID_559835204"
-122.0195907,37.5877682,"US Bank"
-121.7526605,38.5388462,"ID_568121954"
-122.0205987,36.9792657,"ID_600133349"
-122.0353948,37.3730834,"Chase"
-122.0079421,36.9666422,"CashPlus"
-122.4369573,37.8006183,"Wells Fargo"
-122.4368956,37.8005823,"Wells Fargo"
-121.9997679,37.3525747,"Citibank"
-121.997364,37.353067,"CEFCU - Citizens Equity First Credit Union"
-121.9981127,37.3537336,"Chase"
-122.2623522,37.8361074,"Bank Of The West"
-122.389987,37.6121824,"Travelex"
-122.4636925,37.7808654,"Bank of America"
-121.970138,36.9765296,"ID_709775822"
-121.9702346,36.9765381,"ID_709775825"
-121.7605766,38.5467893,"ID_710821384"
-122.2164665,37.8007163,"Bank of America"
-122.2160293,37.8002247,"Wells Fargo"
-122.2158014,37.8008435,"Citibank"
-122.0198894,37.9291441,"ID_715798759"
-122.3100452,37.9007315,"Valero"
-122.0342804,37.3364503,"Bank Of America"
-122.4062338,37.7935224,"Bank of America"
-122.4075931,37.7856352,"Wells Fargo"
-122.4075636,37.7856373,"Swipe"
-122.0104665,36.9815254,"ID_856220384"
-122.0252138,36.9714446,"ID_883641537"
-122.0255661,36.9726964,"ID_883641541"
-122.0248905,36.9702326,"ID_883641542"
-122.4694381,37.669612,"ID_885584309"
-121.9332197,37.3447041,"ID_936104758"
-122.4162551,37.7784477,"Wells Fargo"
-122.1117275,37.4053242,"Bank of America"
-122.1119032,37.4055042,"Bank of America"
-122.0197208,37.5872177,"Chase"
-121.8538975,37.3032725,"ID_1021091649"
-122.0433154,37.5929226,"1st United Services Credit Union"
-122.0660433,37.5999534,"Chase"
-122.517703,37.9263402,"Chase Bank"
-121.8845786,37.2297141,"Citibank"
-121.8627658,37.2204443,"Wells Fargo"
-121.8628878,37.2204727,"Wells Fargo"
-122.1369984,37.6890286,"Chase"
-122.0600731,37.4146982,"ID_1071651006"
-121.4729019,37.7536227,"Bank of America"
-121.9595504,37.2403905,"Chase bank"
-121.9629423,37.2346155,"Wells Fargo"
-121.9631016,37.2346335,"Wells Fargo"
-121.3940646,38.7160059,"ID_1131906315"
-122.2522912,37.5214632,"Provident Credit Union"
-122.2525019,37.5219399,"Bank of America"
-121.9797695,37.2308154,"Comerica Bank"
-122.2725912,37.8034944,"Wells Fargo Bank"
-122.4026113,37.7911278,"US Bank"
-122.4029279,37.7944715,"Cathay Bank"
-122.4025803,37.7926992,"US Bank"
-121.9615219,37.2343918,"ID_1219353011"
-122.3915726,37.7331211,"Bank of America"
-122.3907541,37.7333559,"USBank"
-122.3914266,37.7213718,"ID_1229704788"
-122.404695,37.7306977,"Bank of America"
-122.4294971,37.7673126,"Sterling Bank and Trust"
-121.9040458,37.6917756,"Bank of America"
-122.2570146,37.5032434,"Chase"
-122.161474,37.4462024,"ID_1254760179"
-122.1527061,37.4593723,"ID_1257057604"
-122.1607165,37.4602942,"ID_1257057608"
-122.1593298,37.4614162,"ID_1257057612"
-122.1563603,37.465998,"ID_1257057615"
-122.43525,37.7687484,"ID_1277684422"
-122.2949992,37.8365469,"ID_1305397494"
-122.277041,37.519972,"U.S. Bank"
-122.277285,37.518569,"Wells Fargo"
-122.590404,37.9872615,"Bank of America"
-122.0364225,37.3718305,"Union Bank of California"
-122.0190106,36.9642553,"ID_1334609541"
-122.0159394,36.9643282,"ID_1334609550"
-122.0201437,36.9640389,"ID_1334609581"
-122.0204383,36.9642683,"ID_1334609589"
-122.0177043,36.9641825,"ID_1334609627"
-122.0135442,36.9646946,"ID_1334609644"
-122.1129442,37.4031809,"Citibank"
-122.2229236,37.4777985,"ID_1337127754"
-122.1637617,37.4461578,"ID_1347130248"
-122.1458797,37.4253274,"Technology Credit Union"
-122.1156962,37.3791002,"Bank of the west"
-122.1153891,37.3787346,"Chase"
-122.0291994,36.9821747,"ID_1355410631"
-122.0292125,36.9822061,"ID_1355410633"
-122.023813,36.9700113,"ID_1357108448"
-122.03469,37.323285,"Chase"
-121.8286997,37.2516282,"Chase"
-122.2471542,37.8107853,"Bank of America"
-122.2652564,37.8000536,"Wells Fargo"
-122.2433454,37.8107874,"Wells Fargo"
-122.4080882,37.7846363,"Bank of America"
-122.419476,37.8076629,"ID_1402389036"
-122.8063998,38.0687242,"Wells Fargo"
-122.1585216,37.4462069,"Wells Fargo"
-122.1587609,37.4463024,"Wells Fargo"
-122.1601026,37.4450933,"ID_1460260208"
-122.1601254,37.4491994,"ID_1461520334"
-121.9219051,37.2613807,"Chase"
-121.9218553,37.2625121,"Citibank"
-122.2800204,37.8327232,"ID_1490417505"
-122.4314699,37.7661442,"ID_1494512589"
-121.564141,37.0262314,"ID_1509456971"
-121.6370993,37.1298751,"ID_1512160308"
-122.399563,37.785916,"Gold Club"
-122.396389,37.7855647,"Wells Fargo"
-122.0812719,37.3904903,"Bank of America"
-122.0814782,37.3902575,"Bank of America"
-122.2099011,37.8269482,"ID_1580633320"
-122.4194711,37.7646625,"Bank of America"
-122.4009729,37.7898697,"Sutter Station"
-122.0318874,37.3119158,"Wells Fargo"
-122.6229639,38.2488195,"Bank of America"
-122.6303963,38.2512461,"Redwood Credit Union"
-122.3927203,37.7904188,"Charles Schwab Bank"
-121.9601799,37.3228308,"ID_1673001527"
-121.9594705,37.3229944,"Citibank"
-122.0329432,37.3586138,"7-11"
-122.0354654,37.3723632,"Bank of America"
-122.2703894,37.8696314,"ID_1721377722"
-122.2283361,37.4859396,"San Mateo Credit Union"
-122.2288381,37.4853076,"San Mateo Credit Union"
-122.0263056,36.9698149,"ID_1727251815"
-122.2580878,37.5037359,"Citi Bank"
-122.2578008,37.5039998,"Union Bank"
-122.2314722,37.4865164,"United American Bank"
-122.524055,37.946839,"Chase"
-122.4823571,37.7011369,"Bank of the West"
-121.1235761,38.6889042,"Wells Fargo Bank"
-122.518174,37.9247498,"Union Bank"
-121.4019666,38.4228163,"Wells Fargo"
-122.1295014,37.7021872,"Bank of America"
-122.3947838,37.776626,"Bank of America"
-122.4074739,37.77102,"ID_1880214116"
-121.9706607,38.5213262,"Bank of America"
-121.9702691,38.5214584,"Yolo Federal Credit Union"
-121.959451,37.9501693,"Chase"
-122.267333,37.866921,"Union Bank"
-121.9289433,37.4898761,"Band Of America"
-121.9067962,37.2715281,"Bank of America"
-121.9214497,37.2614342,"Chase"
-121.2967743,38.5680953,"Heritage Community Credit Union"
-121.8907443,37.3331183,"Wells Fargo"
-121.9019601,37.3505839,"Bank Of America"
-121.912892,37.3654473,"ID_1934652445"
-122.5621093,37.9740519,"Wells Fargo Bank"
-122.5621897,37.9727748,"US Bank"
-122.5623802,37.9738531,"Bank of America"
-122.4644224,37.7808153,"ID_1940405974"
-122.4203689,37.7880978,"ID_1940406058"
-122.4463778,37.7757247,"Starbucks"
-122.4468887,37.775662,"Coin Laundry Wash-Dry"
-121.9234915,37.4258949,"ID_1958795646"
-122.428953,37.7660192,"Church Street Groceria"
-122.4434463,37.7770071,"Get the Funk Out"
-122.4466021,37.7756716,"Fulton Food Shop"
-122.4466021,37.7756716,"Fulton Food Shop"
-122.0716689,37.5912751,"Bank Of America"
-122.4665911,37.764225,"Bank of America"
-122.3930945,37.7787706,"Fremont Bank"
-122.2980031,37.5381336,"Javaddictions"
-121.9797997,37.5522855,"Wells Fargo"
-122.3897503,37.6121194,"Bank of America"
-122.3348882,37.9901718,"Wells Fargo"
-121.5328767,38.6427123,"Wells Fargo Bank"
-121.5250495,38.6563521,"Bank of America"
-122.0485422,36.9587093,"ID_2016279355"
-122.3002116,37.8982731,"El Cerrito Plaza Farmers' Market"
-122.082461,37.3887775,"Wells Fargo"
-121.5239144,38.6555258,"River City Bank"
-122.394082,37.7922919,"Wells Fargo"
-121.5346752,38.6425905,"The Golden 1"
-122.4353989,37.7241479,"Citibank"
-122.4351736,37.7244407,"US Bank"
-122.4350019,37.7241479,"Sterling Bank"
-122.4356295,37.7240312,"Wells Fargo"
-122.408147,37.7707283,"Muji"
-122.4414251,37.716296,"Bank of America"
-122.271629,37.871929,"Charles Schwab"
-122.4656858,37.7830552,"Bank of America"
-122.4975129,37.7755612,"East West Bank"
-121.4943199,38.5320738,"Chase"
-122.0013622,36.997208,"ID_2086573244"
-122.0247116,36.9767392,"ID_2087791224"
-122.0246443,36.9767582,"ID_2087791225"
-122.03192,37.306287,"Chevron gas and car wash"
-122.099886,37.429715,"Plaza deli"
-122.417422,37.766319,"Flying Pig Bistro"
-121.4856532,38.5672956,"Wells Fargo"
-121.5039548,38.634452,"Bank of America"
-121.7462319,37.6942613,"Bank of America"
-121.7750122,37.6821153,"Bank of America"
-121.5106275,38.6563631,"Wells Fargo Bank"
-121.9094062,37.361965,"Citibank"
-122.0326271,37.2584716,"Wells Fargo"
-122.0404158,37.9295157,"Bank of America"
-122.0599325,37.9470339,"Bank Of America"
-122.0597448,37.9496651,"Chase"
-122.0599915,37.8979337,"Bank of America"
-122.4341258,37.790972,"Bank of America"
-122.1467473,37.4258974,"Technology Credit Union"
-122.0006336,37.2801974,"Bank of the West"
-121.991387,37.387118,"Comerca bank"
-122.4453438,37.7761722,"Chase Bank"
-121.9920343,37.2921964,"Bank of America"
-121.9928497,37.2915659,"Chase Bank"
-121.992023,37.292258,"Bank of America"
-121.9915849,37.2907641,"Citi Bank"
-122.0512727,37.3540099,"Wells Fargo Bank"
-122.0359385,37.3732347,"First National Bank of Northern California"
-122.0352018,37.3754485,"Wells Fargo"
-122.0356335,37.3755387,"Wells Fargo"
-122.0347494,37.3766284,"BBVA Compass"
-122.0500871,37.3517401,"ID_2204100048"
-122.0512763,37.3540655,"Wells Fargo Bank"
-122.0328739,37.3370211,"Star One Credit Union"
-122.4247611,37.7860902,"CitiBank"
-122.4247249,37.7861244,"CitiBank"
-122.4205738,37.7907225,"Chase"
-122.420651,37.7908772,"Chase"
-122.0268265,37.937172,"Citibank"
-122.5039679,37.5933665,"Bank of America"
-121.38446,38.663786,"Lion's Gate"
-122.4172623,37.7392324,"Bank of America"
-122.121647,37.1238952,"ID_2276262693"
-122.1228473,37.125901,"Liberty Bank"
-122.1230816,37.1259532,"Liberty Bank"
-121.5922283,38.6956033,"ID_2276369282"
-121.5930918,38.6956142,"ID_2276369285"
-122.2182557,38.1330154,"Kaiperm Credit Union"
-122.445368,37.771082,"Ben and Jerry's Ice Cream"
-122.4743198,37.7180919,"ID_2304346638"
-122.0558694,36.9978941,"ID_2315314729"
-122.069135,37.0529749,"Mountain Roasting Company"
-122.4348025,37.7607024,"ID_2321299166"
-122.0375547,37.3686175,"Provident Credit Union"
-122.0329659,37.3586591,"ID_2324740503"
-122.429784,37.751289,"Decor Galore"
-122.439142,37.799796,"Golden One Credit Union"
-122.439718,37.800555,"Bank of America"
-122.435629,37.798442,"Fawn"
-121.8339182,37.2663492,"Wells Fargo"
-121.8334354,37.2669469,"ID_2340747629"
-122.4217143,37.794976,"ID_2341054068"
-122.267908,37.865944,"Chase"
-122.26799,37.866828,"USE Credit Union"
-122.4110139,37.8082751,"ID_2365852851"
-122.4102665,37.8086516,"ID_2365852856"
-122.4119504,37.8090794,"ID_2365852871"
-122.4103564,37.810223,"ID_2365852894"
-122.0540457,37.3970605,"Bank Of America"
-122.0767408,37.3772123,"HSBC"
-122.4220877,37.7682528,"Chase"
-121.996446,37.387119,"Chevron Gas"
-121.9269878,37.7045903,"Bank of America"
-121.9286171,37.7048212,"Bank of the West"
-121.933502,37.7032423,"Citibank"
-121.9340987,37.7044605,"Wells Fargo Bank"
-121.9289703,37.7060691,"Patelco Credit Union"
-121.9271069,37.706022,"US Bank"
-121.9353688,37.7062753,"Keypoint Credit Union"
-122.1992285,37.7920004,"Wells Fargo"
-121.9317607,37.6936816,"Chase"
-122.322354,37.5657445,"HSBC Bank"
-122.3897861,37.7690673,"ID_2453601075"
-122.3929457,37.7682828,"Chase Bank ATM"
-122.324572,37.5624142,"First Bank"
-121.8990273,37.6572441,"Wells Fargo"
-122.299925,37.869062,"Mechanics Bank"
-121.8798932,37.6512978,"Bank of the West"
-122.409083,37.78717,"Handlery"
-122.4574953,37.7638858,"ID_2501316102"
-122.2237249,37.4701259,"Chase"
-121.9814489,37.5547828,"ID_2509818476"
-122.0730133,37.0517628,"Liberty Bank"
-122.25152,37.844031,"ID_2557922429"
-121.8621345,37.2500148,"Bank of the West"
-121.5633849,37.0228982,"Bank of America"
-121.857254,37.2499168,"Tech Credit Union"
-121.843156,37.2495165,"Meriwest Credit Union"
-121.9305652,37.2614968,"Bank of the West"
-121.5600823,37.0208111,"ID_2572548922"
